,equilibrator id,stan_code
197,"Compound(id=195, inchi_key=NHNBFGGVMKEFGY-UHFFFAOYSA-N)",198
198,"Compound(id=715, inchi_key=None)",199
199,"Compound(id=333, inchi_key=GETQZCLCWQTVFV-UHFFFAOYSA-O)",200
200,"Compound(id=1101, inchi_key=None)",201
201,"Compound(id=84, inchi_key=NINIDFKCEFEMDL-UHFFFAOYSA-N)",202
202,"Compound(id=215, inchi_key=MWUXSHHQAYIFBG-UHFFFAOYSA-N)",203
203,"Compound(id=4187, inchi_key=RAHZWNYVWXNFOC-UHFFFAOYSA-N)",204
204,"Compound(id=81378, inchi_key=LSNNMFCWUKXFEE-UHFFFAOYSA-L)",205
205,"Compound(id=101, inchi_key=IOVCWXUNBOPUCH-UHFFFAOYSA-M)",206
206,"Compound(id=104, inchi_key=CWYNVVGOOAEACU-UHFFFAOYSA-N)",207
207,"Compound(id=748, inchi_key=ROSDSFDQCJNGOL-UHFFFAOYSA-O)",208
208,"Compound(id=621, inchi_key=JLVVSXFLKOJNIY-UHFFFAOYSA-N)",209
209,"Compound(id=110, inchi_key=XSQUKJJJFZCRTK-UHFFFAOYSA-N)",210
210,"Compound(id=241, inchi_key=None)",211
211,"Compound(id=242, inchi_key=BAVYZALUXZFZLV-UHFFFAOYSA-O)",212
212,"Compound(id=9721, inchi_key=None)",213
