,mass,compound_id,inchi_key,formation_energy_cc
101,425.27,273,IRLPACMLTUPBCL-KQYNXXCUSA-L,-1541.4021509768213
102,138.016,266,LIPOUNRJVLNBCD-UHFFFAOYSA-L,-1224.630375949533
103,129.136,383,BKAJNAXTPSGJCU-UHFFFAOYSA-M,-448.7674640125052
104,262.005,248,LJQLQCAXBUHEAZ-UWTATZPHSA-J,-2354.064001564343
105,28.01,8576,,-119.90000000000022
106,342.29699999999997,343,GUBGYTABKSRVRQ-QKKXKWKRSA-N,-1576.0491524750062
107,62.005,195,NHNBFGGVMKEFGY-UHFFFAOYSA-N,-108.69010794062736
108,87.09899999999999,437,FERIUCNNQQJTOY-UHFFFAOYSA-M,-352.5912469061844
109,180.15599999999998,45839,BJHIKXHVCXFQLS-OTWZMJIISA-N,-913.4103806943505
110,255.423,102,IPCSVZSSVZVIGE-UHFFFAOYSA-M,-259.35855222810017
111,342.29699999999997,44860,DLRVVLDZNNYCBX-RTPHMHGBSA-N,-1585.360650661882
112,195.148,323,RGHNJXZEOKUKBD-SQOUGZDYSA-M,-1128.2794108228463
113,105.07,179,RBNPOMFGQQGHHO-UWTATZPHSA-M,-666.9434398935515
114,136.114,201,FDGQSTZJBFJUBT-UHFFFAOYSA-N,90.24539455905509
115,258.12,29047,VFRROHXSMXFLSN-KVTDHHQDSA-L,-1759.2650282531492
116,2.016,184,UFHFLCQGNIYNRP-UHFFFAOYSA-N,17.610974052546112
117,33.07,74380,RWSOTUBLDIXVET-UHFFFAOYSA-M,11.56537908565106
118,61.016999999999996,60,BVKZGUZCCUSVTD-UHFFFAOYSA-M,-588.2677801563558
119,268.22900000000004,316,UGQMRVRMYYASKQ-KQYNXXCUSA-N,-410.5953677876208
120,131.135,379,CVSVTCORWBXHQV-UHFFFAOYSA-N,-259.1998156991952
121,24.304000000000002,621,JLVVSXFLKOJNIY-UHFFFAOYSA-N,-455.2604317624956
122,150.13,29687,ZAQJHHRNXZUBTE-NQXXGFSBSA-N,-740.6277737943143
