,reaction_id,stoichiometry
219,-5652344243724601991,"{148: -1.0, 22: -1.0, 25: 1.0, 313: 1.0}"
220,8540296956549529508,"{3153: -1.0, 11: -1.0, 45839: 1.0, 13: 1.0, 3: 1.0}"
221,3645232839557442128,"{2763: -1.0, 11: -1.0, 297: 1.0, 13: 1.0, 3: 1.0}"
222,-7868209883086920845,"{74429: -1.0, 49832: 1.0}"
223,5635498423271191774,"{319: -1.0, 751: 1.0}"
224,-5103626863154680212,"{1095: -1.0, 137: 1.0}"
225,4604354495783009798,"{126: -1.0, 664: 1.0, 18: 1.0}"
226,2546882286484661478,"{2140: -1.0, 11: -1.0, 2392: 1.0, 13: 1.0, 3: 1.0}"
227,-2857577461621144711,"{2959: -1.0, 11: -1.0, 25364: 1.0, 13: 1.0, 3: 1.0}"
228,-1568129973742745475,"{81: -1.0, 164: -1.0, 15: 1.0, 2694: 1.0}"
229,3769731290262252110,"{23: -1.0, 164: -1.0, 15: 1.0, 951: 1.0}"
230,-5410308437206396508,"{520: -1.0, 25: -1.0, 294: 1.0, 34: 1.0}"
231,-5445556328714568206,"{359: -1.0, 22: -1.0, 514: 1.0, 74378: 1.0}"
232,2038085569864233368,"{10929: -1.0, 567: 1.0}"
233,154286720414595079,"{652: -1.0, 12: -1.0, 165: 1.0, 281: 1.0}"
234,1787030293085548180,"{71: -1.0, 12: -1.0, 11: -1.0, 248: 1.0, 13: 1.0, 3: 1.0}"
235,-5434792341132595148,"{271: -1.0, 11: -1.0, 25: 1.0, 13: 1.0, 3: 1.0}"
236,1208594481071221232,"{691217: -1.0, 11: -1.0, 151: 1.0, 13: 1.0, 3: 1.0}"
237,707887355731045730,"{6935: -1.0, 11219: 1.0}"
238,-6277573065885303395,"{6935: -1.0, 29038: 1.0}"
239,7614465891556348563,"{1682: -1.0, 1637: 1.0}"
240,-3458992683230483082,"{2700: -1.0, 8: -1.0, 377: 1.0, 9: 1.0, 3: 1.0}"
241,8888618795849951696,"{266: -1.0, 3684: -1.0, 4074: 1.0, 12: 1.0, 3: 1.0}"
242,5787047204139908330,"{486: -1.0, 8: -1.0, 1179: 1.0, 9: 1.0, 3: 1.0}"
243,-4000968779094436173,"{125172: -1.0, 1556: -1.0, 152: 1.0, 396: 1.0}"
244,-3834682047781702765,"{334: -1.0, 8: -1.0, 342: 1.0, 9: 1.0, 3: 1.0}"
245,-6906118591891467427,"{364: -1.0, 11: -1.0, 5: -1.0, 75: 1.0, 22: 1.0, 13: 1.0, 3: 1.0}"
246,8994598808801220994,"{210: -1.0, 11: -1.0, 66: 1.0, 13: 1.0, 3: 1.0}"
247,6016543871133877022,"{89: -1.0, 5: -1.0, 357: 1.0, 25: 1.0, 18: 1.0}"
248,2604793330926362278,"{267: -2.0, 587: 1.0, 74383: 1.0}"
249,-6807494954475411043,"{11086: -1.0, 5: -1.0, 72126: 1.0, 3617: 1.0}"
250,3749106359800221749,"{1116: -1.0, 25: 1.0, 330: 1.0}"
251,-2607743978342430006,"{1300: -1.0, 5: -1.0, 369: 1.0, 43: 1.0}"
252,3247021904112891543,"{6: -1.0, 557: -1.0, 10: 1.0, 4136: 1.0, 3: 2.0}"
253,-1703824149842412078,"{372: -1.0, 11: -1.0, 125172: 1.0, 13: 1.0, 3: 1.0}"
254,-6169327627621067332,"{74384: -1.0, 11: -1.0, 438: 1.0, 13: 1.0, 3: 1.0}"
255,-7948791453869692731,"{4851: -1.0, 12: -1.0, 1056: 1.0, 74381: 1.0}"
256,-6887066427793020839,"{71: -1.0, 357: -1.0, 807: 1.0}"
257,-3019652017653239079,"{467: -1.0, 66: 1.0, 110: 1.0}"
258,-7526705103169414843,"{169: -1.0, 48: -1.0, 92: 1.0, 25: 1.0}"
259,8988781388550622025,"{25: -1.0, 12: -1.0, 266: 1.0, 41: 1.0}"
260,4263113047018564859,"{29047: -1.0, 5: -1.0, 172: 1.0, 12: 1.0}"
261,6471062896476025124,"{785: -1.0, 29047: 1.0}"
262,-7053209106674124044,"{15: -1.0, 28: -1.0, 6: -1.0, 23: 1.0, 10: 1.0, 12: 1.0}"
263,-6473639121217187330,"{107: -1.0, 8: -1.0, 886: 1.0, 9: 1.0, 3: 1.0}"
264,6464745845950200302,"{1995: -1.0, 12: -1.0, 43: 1.0, 74381: 1.0}"
265,1807962985872285216,"{2433: -1.0, 11: -1.0, 631: 1.0, 13: 1.0, 3: 1.0}"
266,-137362806851706063,"{70: -1.0, 1122: 1.0, 3: -1.0}"
267,-8446292145699278875,"{350: -1.0, 897: 1.0}"
268,4057195565984143757,"{6: -1.0, 28: -1.0, 10: 1.0, 266: 1.0}"
269,-7140071366581323084,"{91: -1.0, 417: 1.0, 18: 1.0}"
