,compound_id,inchi_key,mass,cc_low,cc_high,formation_energy_cc,formation_energy_rc
101,152,NBSCHQHZLSJFNQ-GASJEMHNSA-L,258.12,-1763.8829261631465,-1761.2514715371292,-1762.5671988501379,-1762.5671988501408
102,157,GUBGYTABKSRVRQ-PICCSMPSSA-N,342.29699999999997,-1582.7958201189124,-1575.8446956639893,-1579.3202578914509,-1579.320257891452
103,158,"PTWSIIUEOFZCHW-NTCAYCPXSA-N
",308.421,43.69440549591957,83.42700863418625,63.56070706505291,32.78957715767906
104,159,CZMRCDWAGMRECN-UGDNZRGBSA-N,342.29699999999997,-1572.1786783696032,-1566.1231274015001,-1569.1509028855517,-1569.1509028855567
105,160,GFFGJBXGBJISGV-UHFFFAOYSA-N,135.13,305.1170002194075,311.6803695788533,308.3986848991304,308.3986848991343
106,161,,,-141401.48035887143,141441.23217887143,19.875910000007554,19.87590999999365
107,163,UIUJIQZEACWQSV-UHFFFAOYSA-M,101.08200000000001,-467.8246960857568,-462.5594516053056,-465.1920738455312,-25.54372958255992
108,164,PHIQHXFUZVPYII-ZCFIWIBFSA-N,161.201,-200464.2102738235,199535.79105956657,-464.20960712845516,-60.18493080728901
109,165,LRFVTYWOQMYALW-UHFFFAOYSA-N,152.113,-121.78538462930938,-107.59724258437886,-114.69131360684412,251.2996638151356
110,167,"SQQWBSBBCSFQGC-JLHYYAGUSA-N
",318.413,-350.12554058381744,-307.33196600566674,-328.7287532947421,50.8367608061165
111,168,,,-141441.2321788716,141401.4803588716,-19.875909999998797,-19.875910000008634
112,169,JVTAAEKCZFNVCJ-REOHCLBHSA-M,89.071,-513.3392773992173,-509.5214388513502,-511.4303581252837,-511.4303581252733
113,172,WQZGKKKJIJFFOK-QTVWNMPRSA-N,180.15599999999998,-915.6692892268421,-911.3409257169222,-913.5051074718822,-913.5051074718822
114,173,QYNUQALWYRSVHF-OLZOCXBDSA-L,455.43199999999996,-136030.36904215472,134597.49125480515,-716.4388936747772,16.983512144662672
115,176,FNZLKVNUWIIPSJ-RFZPGFLSSA-L,228.09400000000002,-1601.1792849106898,-1596.2249410677025,-1598.7021129891962,-1598.7021129892003
116,177,SUHOOTKUPISOBE-UHFFFAOYSA-M,140.055,-1045.8698921456817,-1037.1300725122956,-1041.4999823289886,-632.7356834621241
117,179,RBNPOMFGQQGHHO-UWTATZPHSA-M,105.07,-668.9733526571911,-664.9135271299119,-666.9434398935515,-666.9434398935537
118,181,BTCSSZJGUNDROE-UHFFFAOYSA-N,103.12100000000001,-374.5989233844457,-368.04442043025506,-371.3216719073504,68.32667235562062
119,183,JOUIQRNQJGXQDC-ZYUZMQFOSA-L,333.19,-1568.72560219349,-1553.0600241467646,-1560.8928131701273,-683.7430118821424
120,184,UFHFLCQGNIYNRP-UHFFFAOYSA-N,2.016,11.635330259343018,23.586617845749206,17.610974052546112,17.61097405254803
121,185,VTLYFUHAOXGGBS-UHFFFAOYSA-N,55.843,-10.586615258822711,1.3646723275834773,-4.610971465619617,-4.61097146561817
122,187,HDTRYLNUVZCQOY-LIZSDCNHSA-N,342.29699999999997,-1585.1742645534302,-1579.2599739258505,-1582.2171192396404,-1582.2171192396434
123,188,KZSNJWFQEVHDMF-BYPYZUCNSA-N,117.148,-364.6532195477168,-352.70193196131055,-358.67757575451367,-358.67757575451196
124,191,"RNUCUWWMTTWKAH-JLHYYAGUSA-N
",320.42900000000003,-451.7990621960377,-409.005487617887,-430.40227490696236,-50.83676080611435
125,195,NHNBFGGVMKEFGY-UHFFFAOYSA-N,62.005,-114.66575173383045,-102.71446414742427,-108.69010794062736,-108.69010794062632
126,196,YTNIXZGTHTVJBW-SCRDCRAPSA-L,456.349,-1415.6222009881462,-1381.5148257973642,-1398.5685133927552,-39.78980510711996
127,198,DEDGUGJNLNLJSR-UHFFFAOYSA-M,163.153,-311.50827158856504,-292.1517275389328,-301.8299995637489,-301.8299995637477
128,199,RHGKLRLOHDJJDR-BYPYZUCNSA-N,175.188,-496.4450304728887,-478.673198923167,-487.5591146980278,-30.088493889125566
